"Genome","type","napA","narG","nirK","nirS","all_nor","nosZ","Domain","Phylum","Class","Order","Family","Genus","Species","Identifier","Source","Completeness","Contamination","X","d","LowerCI","UpperCI","dCUB","nCAZy","nHE","nGenes","IoC","IoC2","functional_type"
"Esearch_CP012202_1_Alteromonas_macleodii_strain_HOT1A3.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP012202.1","HOT1A3|USA: Hawaii, station ALOHA|water(ENVO:00002006)|22.45 N 158 W|2007-08-18",100,0,173,1.34516264161798,1.15817726532807,1.56740088383492,-0.447852015177796,97,49,3947,3.99136812402859,4.86464554026639,"nitrate1"
"Esearch_CP012331_1_Alcanivorax_xenomutans_strain_P40.fasta","genome",1,1,1,0,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alloalcanivorax","","CP012331.1","P40|MCCC:1A01128|Indian Ocean|deep seawater|2005",100,0,174,3.05551651668286,2.67852691214496,3.49428596189367,-0.182426460437265,48,49,4340,3.46603137960924,3.62170798422428,"nitrate3"
"Esearch_CP012529_1_Psychrobacter_sp_P2G3.fasta","genome",0,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter","","CP012529.1","P2G3|Botryllus sp.|Norway: Norwegian sea|2009-05",100,0,175,3.36103146242796,2.93226120503596,3.86285957669269,-0.173523129884754,43,47,2689,2.5889752212731,2.88053018711835,"nitrate1"
"Esearch_CP012533_1_Psychrobacter_sp_P11G5.fasta","genome",0,1,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter","","CP012533.1","P11G5|Botryllus sp.|Norway: Norwegian sea|2009-05",100,0,176,3.46503036680435,3.0174510809113,3.98999329290852,-0.16663358653995,42,47,2760,2.61045810743209,2.86532775339037,"nitrate1"
"Esearch_CP013011_1_Pyrodictium_delaneyi_strain_Su06_chromosome.fasta","genome",1,0,0,0,0,0,"Archaea","Thermoproteota","Thermoprotei","Desulfurococcales","Pyrodictiaceae","Pyrodictium","","CP013011.1","Su06|type strain of Pyrodictium delaneyi|Pyrodictium sp. Su06|Pacific Ocean|active hydrothermal chimney|2006-08-28",100,0,179,3.99609715751519,3.44396949766542,4.65157340081889,-0.00542509809041615,11,44,2102,1.90524885365008,1.55784756627699,"nitrate1"
"Esearch_CP013021_1_Agarivorans_gilvus_strain_WH0801.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agarivorans","","CP013021.1","WH0801|type strain of Agarivorans gilvus|China: the shallow coastal region of Weihai|water|37.51 N 122.14999999 E|2011",100,0,180,1.07362866901357,0.908032124407763,1.2745955081109,-0.443434695030801,112,49,4280,4.10394100760834,5.08912918759543,"nitrate1"
"Esearch_CP013138_1_Pseudoalteromonas_sp_Bsw20308_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","","CP013138.1","Bsw20308|Arctic Ocean: Chukchi Sea|seawater|1999-08|1 m",100,0,181,1.55793128100682,1.3544080420803,1.79711168110012,-0.377894983020408,88,49,3367,3.45199684728348,4.35907550210504,"nitrate1"
"Esearch_CP013145_1_Colwellia_sp_MT41_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","","CP013145.1","MT41|Hirondellea gigas|Pacific Ocean: the Mariana Trench|water|11.205 N 142.2577 E|1978-12-13",100,0,182,1.68404005451615,1.47032306711048,1.93395067119278,-0.37481605797597,81,47,3666,3.64619070308116,4.35829127333366,"nitrate1"
"Esearch_CP013355_1_Lutibacter_profundi_strain_LP1_chromosome.fasta","genome",1,0,0,1,1,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutibacter","","CP013355.1","LP1|DSM:100437|JCM:30586|type strain of Lutibacter profundi|Lutibacter sp. LP1|Norway: Arctic Mid-Ocean Ridge hydrothermal vent field|marine hydrothermal vent biofilm|73.3 N 8 E|2009-08-04",100,0,183,7.51471138643094,6.02432509210718,9.44092321802117,-0.00882813359709874,69,40,2642,1.82373722079624,2.64708041211176,"nitrate3"
"Esearch_CP013930_1_Alteromonas_mediterranea_strain_U10_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP013930.1","U10|Greece: Ionian Sea|seawater|35.1 N 21.29999999 E|1998",100,0,184,1.1972702925581,1.0217574037483,1.40804119953191,-0.474730538143749,111,49,4069,4.09754703689646,5.12833682734965,"nitrate1"
"Esearch_CP014224_1_Wenyingzhuangia_fucanilytica_strain_CZ1127_chromosome.fasta","genome",1,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia","","CP014224.1","CZ1127|CCTCC:AB 2015089|type strain of Wenyingzhuangia fucanilytica|Wenyingzhuangia sp. CZ1127|China: Jiaozhou Bay|coastal sea water|36.1 N 120.3 E|2007-06",100,0,185,3.76107754891205,3.25689606385763,4.35631669827561,-0.154539195514081,250,41,2806,1.37402097315341,5.62220086375492,"nitrate2"
"Esearch_CP014323_1_Alteromonas_macleodii_strain_D7_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP014323.1","D7|Thailand: Andaman Sea|seawater|8 N 98 E|2000",100,0,186,1.39234326271403,1.20172347535173,1.61825797311536,-0.425357809012883,86,48,4031,4.00480310888343,4.70806084570038,"nitrate1"
"Esearch_CP014476_1_Methylomonas_denitrificans_strain_FJG1_chromosome.fasta","genome",1,1,1,1,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomonas","","CP014476.1","FJG1|type strain of Methylomonas denitrificans",100,0,187,0.968028542023136,0.811353715836648,1.16019155596897,-0.476943776026114,127,44,4809,4.46239132104878,5.50451443396203,"nitrate2"
"Esearch_CP014796_1_Salipiger_profundus_strain_JLT2016_chromosome_complete_sequence.fasta","genome",1,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Salipiger","","CP014796.1","JLT2016|CGMCC:1.12377|LMG:27365|type strain of Salipiger profundus|Pacific Ocean|2012-12-10",100,0,188,5.24774391358704,4.40293952484349,6.28265165588761,-0.0951059958647367,94,44,4377,3.00594909104612,3.72109116590356,"nitrate2"
"Esearch_CP014864_1_Microbulbifer_thermotolerans_strain_DAU221_chromosome.fasta","genome",0,1,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","","CP014864.1","DAU221|KCCM:43021|South Korea: Busan|marine|2012-01-03",100,0,189,2.47534701391481,2.18122002427351,2.81561556736397,-0.209270595171074,125,47,3295,2.63386340065569,4.16095262631983,"nitrate1"
"Esearch_CP015039_1_Rhodovulum_sp_P5.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Rhodovulum","","CP015039.1","P5|Rhodovulum guishaninsula P5|Taiwan: Kueishantao Island|shallow-sea hydrothermal system|24.84093467 N 121.96167442 E|2014-05-25|Yu Han",100,0,191,5.63271249342824,4.68736899891091,6.80196500016871,-0.0776254224971405,54,43,3953,2.87689451105774,3.13531793510826,"nitrate1"
"Esearch_CP015093_1_Salipiger_abyssi_strain_JLT2014_chromosome_complete_sequence.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Salipiger","","CP015093.1","JLT2014|type strain of Pelagibaca abyssi|Pelagibaca abyssi|Pacific Ocean|marine seawater|2012-12-10",100,0,192,4.83326606881779,4.09161023602773,5.73234921934866,-0.103646937875645,91,44,4129,2.91172448656968,3.63838247226983,"nitrate1"
"Esearch_CP015124_1_Phaeobacter_gallaeciensis_strain_JL2886_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Phaeobacter","","CP015124.1","JL2886|China: South China Sea|deep sea water|2012-04-11",100,0,193,2.01613446433559,1.77274313909087,2.29841568890665,-0.326677106944821,69,43,3793,3.60061537974888,4.10850754959777,"nitrate1"
"Esearch_CP015345_1_Alteromonas_stellipolaris_strain_PQQ-42_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP015345.1","PQQ-42|Spain: Granada|Seawater|36.745456 N 3.60112500 W|2013-04",100,0,194,1.67180027197512,1.4590925860138,1.92063867102199,-0.384268606945881,116,49,4052,3.7506216394303,4.84662015336048,"nitrate1"
"Esearch_CP015641_1_Pseudomonas_stutzeri_strain_273_chromosome.fasta","genome",1,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas","Stutzerimonas stutzeri group","CP015641.1","273|China: Rizhao|East China Sea|2015-05-01",100,0,195,2.35512700588107,2.07551939425759,2.67855592628726,-0.256937032220035,92,49,4684,3.74519081141491,4.39663645759622,"nitrate3"
"Esearch_CP017114_1_Cobetia_marina_strain_JCM_21022_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia","","CP017114.1","JCM 21022|type strain of Cobetia marina|USA: Woods Hole, MA|littoral water sample|2012-10-30",100,0,197,1.43477081768709,1.2408753236658,1.6640206754614,-0.394234941044154,78,47,3431,3.59484645421219,4.32432708108472,"nitrate1"
"Esearch_CP017260_1_Formosa_sp_Hel1_33_131_chromosome.fasta","genome",0,0,1,0,0,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Formosa","","CP017260.1","Hel1_33_131|Germany: Helgoland, Kabeltonne|2010-04-24",100,0,198,3.35274009059904,2.92544429447074,3.85275953682434,-0.160624166509602,68,40,2566,2.31392721316801,3.16257761889344,"nitrite1"
"Esearch_CP017477_1_Polaribacter_vadi_strain_LPB0003_chromosome.fasta","genome",1,0,1,0,0,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP017477.1","LPB0003|type strain of Polaribacter vadi|Polaribacter sp. LPB0003|South Korea|Thais luteostoma|2015-02-27",100,0,199,6.53920881094944,5.34143495926535,8.0534262404719,-0.0449686745142489,169,41,3296,1.83938605781423,4.07559156945341,"nitrate2"
"Esearch_CP018024_1_Alteromonas_mediterranea_strain_CP48_chromosome_complete_sequence.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP018024.1","CP48|Mediterranean Sea|seawater|2014",100,0,201,1.33178018343254,1.14582570730399,1.55297989848782,-0.455845927208521,107,49,3634,3.79429353362562,4.90648269519537,"nitrate1"
"Esearch_CP018027_1_Alteromonas_mediterranea_strain_CP49_chromosome_complete_sequence.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP018027.1","CP49|Mediterranean Sea|seawater|2014",100,0,202,1.32942214609678,1.14364936559583,1.55043900958664,-0.45448985320861,104,49,3689,3.8356202024538,4.88440196995126,"nitrate1"
"Esearch_CP018029_1_Alteromonas_mediterranea_strain_RG65_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP018029.1","RG65|Mediterranean Sea|seawater|2014",100,0,203,1.32904651605937,1.1433026809037,1.55003425519958,-0.457035081445452,106,49,3677,3.82851531642598,4.9108801278261,"nitrate1"
"Esearch_CP018099_1_Caldithrix_abyssi_DSM_13497_strain_LF13_chromosome.fasta","genome",1,0,0,0,1,0,"Bacteria","Calditrichota","Calditrichia","Calditrichales","Calditrichaceae","Caldithrix","Caldithrix abyssi","CP018099.1","LF13|DSM:13497|type strain of Caldithrix abyssi|Atlantic Ocean: Mid Atlantic Ridge, Logachev|hydrothermal vent -3000 m|14.75 N 44.98300000 W|1998",100,0,204,3.84862273484294,3.32687990142764,4.46585307103907,-0.138354168942597,124,40,3807,2.71087436718622,3.98352871959175,"nitrate1"
"Esearch_CP018226_1_Rhizobiales_bacterium_IMCC20636_chromosome.fasta","genome",0,0,1,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomicrobiales","","","","CP018226.1","IMCC20636|KACC:18982|Antarctica|sea water|2010-09-06",100,0,205,2.8479478014502,2.50301073586811,3.24820980045964,-0.236402680779743,72,43,4460,3.62705042664349,4.07051165497139,"nitrite1"
"Esearch_CP018572_1_Marivivens_sp_JLT3646_chromosome.fasta","genome",0,1,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Marivivens","","CP018572.1","JLT3646|Donghicola sp. JLT3646|Taiwan: Kueishan Island|shallow-sea hydrothermal system|27-May-2015",100,0,206,1.30849436016538,1.12433512571213,1.52788981411928,-0.394048184888645,53,46,2969,3.46052117776399,3.88990360878466,"nitrate1"
"Esearch_CP018632_1_Granulosicoccus_antarcticus_IMCC3135_chromosome.fasta","genome",0,1,0,0,1,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Chromatiales","Granulosicoccaceae","Granulosicoccus","Granulosicoccus antarcticus","CP018632.1","IMCC3135|IMCC:3135|type strain of Granulosicoccus antarcticus|Granulosicoccus antarcticus|Antarctica: King George Island|seawater|62.233 S 58.783 W|2005-12",100,0,207,2.51068200486798,2.21211401301974,2.85613226842464,-0.247417926324205,148,47,6776,4.6446644649856,5.57885795963057,"nitrate1"
"Esearch_CP018760_1_Maribacter_hydrothermalis_strain_T28_voucher_KX022625_chromosome.fasta","genome",1,0,1,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","","CP018760.1","T28|KX022625|type strain of Maribacter hydrothermalis|Maribacter sp. T28|Taiwan: Kueishan Island|seawater from shallow-sea hydrothermal system|24 N 121 E|2014-04-29|Peiwen Zhan|Peiwen Zhan",100,0,208,4.7794447546635,4.05076484582707,5.66159403512608,-0.105456191975803,118,40,3711,2.56390971054092,3.78490589059144,"nitrate3"
"Esearch_CP019288_1_Kordia_antarctica_strain_IMCC3317_chromosome.fasta","genome",0,0,0,0,0,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Kordia","","CP019288.1","IMCC3317|KCTC:32292|type strain of Kordia antarctica|Antarctica|Sea water|62.2333 S 58.7833 W|2005-12|Kiyoung Lee|Kiwoon Baek",100,0,209,3.03892778595387,2.66459531476711,3.47448849447793,-0.187207602788203,120,42,4702,3.41255269513279,4.3781631426543,"N2O1"
"Esearch_CP019312_1_Tateyamaria_omphalii_strain_DOK1-4_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Tateyamaria","","CP019312.1","DOK1-4|South Korea: East Sea, Dokdo|Seawater|37.24 N 131.87 E|2015-06",100,0,210,4.19309893861112,3.59888392834483,4.90194394210639,-0.0818128119601684,70,43,3840,2.76405984109644,3.26066485676994,"nitrate1"
"Esearch_CP019343_1_Oceanicoccus_sagamiensis_strain_NBRC_107125_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","Oceanicoccus","","CP019343.1","NBRC 107125|NBRC:107125|type strain of Oceanicoccus sagamiensis|Japan: Sagami Bay Station|Sagami Bay Station P|2009-07-05",100,0,211,1.55625784668968,1.35286718284484,1.79530016021383,-0.342868579657877,71,47,4078,3.80218989180007,4.29144365361939,"nitrate1"
"Esearch_CP019419_1_Polaribacter_reichenbachii_strain_6Alg_8T_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP019419.1","6Alg 8T|Ulva fenestrata (green alga)|LMG:26443|type strain of Polaribacter reichenbachii|Germany|2012-09-28",100,0,213,5.50898795872784,4.59642541221354,6.63423405036013,-0.0860115603447527,211,41,3490,1.92191932584129,4.67232681641652,"nitrate1"
"Esearch_CP019437_1_Thioclava_nitratireducens_strain_25B10_4_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Thioclava","","CP019437.1","25B10_4|MCCC:1A07302|type strain of Thioclava nitratireducens|Surface seawater|2010-07",100,0,214,3.37947333790407,2.94741013987975,3.88534338970473,-0.204371966141719,93,43,3758,3.04814427186795,3.89889596215445,"nitrite1"
"Esearch_CP019450_1_Halioglobus_japonicus_strain_NBRC_107739_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus","","CP019450.1","NBRC 107739|NBRC:107739|type strain of Halioglobus japonicus|Pacific Ocean: Western North Pacific Station S1|Western North Pacific Station S1|2010-02-09",100,0,215,1.58873647287343,1.38276157958647,1.83047727657788,-0.346417949277472,67,47,4001,3.78989091585413,4.23743166576032,"nitrate1"
"Esearch_CP020038_1_Agarilytica_rhodophyticola_strain_017_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Agarilytica","","CP020038.1","017|type strain of Agarilytica rhodophyticola|China: Hainan Province|Sea water|2014-06",100,0,216,3.08689072194341,2.70483114561185,3.53179043147651,-0.195736706887352,161,48,5673,3.84516269115297,5.04217213689427,"nitrate1"
"Esearch_CP020472_1_Shewanella_japonica_strain_KCTC_22435_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","","CP020472.1","KCTC 22435|KCTC:22435|type strain of Shewanella japonica|Russia: Gulf of Peter the Great|Seawater|42.76 N 131.66 E|1994-01",100,0,217,1.62887989824264,1.4196752040998,1.87401348396071,-0.379634809829231,90,49,4205,3.9241168890452,4.64157869368712,"nitrate1"
"Esearch_CP020822_1_Tenacibaculum_maritimum_strain_TM-KORJJ_chromosome.fasta","genome",1,0,0,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","","CP020822.1","TM-KORJJ|Paralichthys olivaceus|South Korea: Jeju|2016-05",100,0,218,4.58794349545519,3.90460364736557,5.41120421730039,-0.0732163128228421,54,44,2925,2.30629607498594,2.74288403011007,"nitrate1"
"Esearch_CP021913_1_Sagittula_sp_P11_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sagittula","","CP021913.1","P11|Pacific Ocean|sulfidic waters (60 m) from the Peruvian upwelling region|12.230 S 77.8472 W|2013-02-26|Max Planck Institute for Marine Microbiology",100,0,219,3.24700144914704,2.83817695702663,3.72442542459112,-0.207451846808571,87,44,4407,3.44190354553703,4.07352178645557,"nitrate1"
"Esearch_CP022271_1_Hyphomonas_sp_KY3_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Hyphomonadales","Hyphomonadaceae","Hyphomonas","","CP022271.1","KY3|Japan: Tokyo|Water|35.6072778 N 140.1063611 E|2013-04",100,0,220,2.65925353743637,2.34114506998839,3.02765499940273,-0.227479166084672,76,43,3401,3.00321762694797,3.69781259207474,"nitrate1"
"Esearch_CP022303_1_Thalassococcus_sp_S3_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Thalassococcus","","CP022303.1","S3|Japan: Kanagawa|Water|35.272089 N 139.586200 E|2014-05",100,0,221,4.24479893906679,3.63926679438217,4.96806938022466,-0.115023691524716,69,43,4688,3.3309411832838,3.70692164839043,"nitrate1"
"Esearch_CP022526_1_Pseudomonas_aeruginosa_strain_Ocean-1155_chromosome.fasta","genome",1,1,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa group","CP022526.1","Ocean-1155|Pacific Ocean|Open Ocean|2003-06-01",100,0,222,1.3369964391666,1.15064008777519,1.55860078535278,-0.450954842003693,98,51,6410,5.29588543705468,5.86146686150024,"nitrate3"
"Esearch_CP022684_1_Ketobacter_alkanivorans_strain_GI5_chromosome.fasta","genome",1,0,0,1,1,1,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Ketobacter","","CP022684.1","sea water, Korea",100,0,223,2.85407708262058,2.50823125046045,3.25542458253518,-0.151918285786462,60,49,4198,3.24021274537819,3.55721055869349,"nitrate3"
"Esearch_CP023464_1_Pseudoalteromonas_atlantica_strain_ECSMB14104_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","","CP023464.1","ECSMB14104|China|East China Sea|30.43 N 122.46 E|2014",100,0,224,1.02107913966033,0.859857574985081,1.21773074487187,-0.509761781187289,71,49,3218,3.91187985233864,4.59642069106948,"nitrate1"
"Esearch_CP023558_1_Pseudoalteromonas_marina_strain_ECSMB14103_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","","CP023558.1","ECSMB14103|originally submitted as Pseudoalteromonas issachenkonii|China|nature biofilm|30.43 N 122.46 E|2014-10",100,0,225,1.30119457161311,1.11759869916644,1.52002490752612,-0.442654195317853,62,49,3070,3.63899348778607,4.20632891654863,"nitrate1"
"Esearch_CP024087_1_Micromonospora_tulbaghiae_strain_CNY-010_chromosome.fasta","genome",0,1,0,0,1,0,"Bacteria","Actinobacteriota","Actinomycetes","Micromonosporales","Micromonosporaceae","Micromonospora","","CP024087.1","CNY-010|Stypopodium (algae)|Bahamas|2010-07",100,0,226,8.71217017967338,6.83792513101755,11.1959343854221,0.00338489008321383,261,44,6705,3.45221055632051,5.28620594747583,"nitrate1"
"Esearch_CP024621_1_Halomonas_meridiana_strain_SCSIO_43005_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","","CP024621.1","SCSIO 43005|Galaxea fascicularis|China: Hainan Island|ENVO:00000150|18.242494 N 109.364853 E|2017-08-01",100,0,227,2.02418064428919,1.78000562577352,2.30733605174006,-0.280211227261086,57,47,3630,3.40330007617716,3.76069986790516,"nitrate1"
"Esearch_CP025115_1_Alteromonas_sp_MB-3u-76_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","","CP025115.1","MB-3u-76|USA: near Point Barrow, Alaska|sea ice|71.3 N 157 W|2014",100,0,228,1.16687126172254,0.993757479834792,1.37526429170075,-0.499028677201423,88,49,3829,4.14217973940116,4.92367998021302,"nitrate1"
"Esearch_CP025118_1_Lacinutrix_sp_Bg11-31_chromosome.fasta","genome",0,0,1,0,1,1,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lacinutrix","","CP025118.1","Bg11-31|USA: near Point Barrow, Alaska|sea ice|71.3 N 157 W|2014",100,0,230,5.56513294425109,4.63774832341401,6.71025290351723,-0.0662999880273583,90,42,3247,2.2789413975636,3.24036367331759,"nitrite2"
"Esearch_CP025119_1_Polaribacter_sp_ALD11_chromosome.fasta","genome",0,0,1,0,1,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","","CP025119.1","ALD11|USA: near Point Barrow, Alaska|sea ice|71.3 N 157 W|2014",100,0,231,5.36804194303163,4.4922875816021,6.44410771827258,-0.0861850312683038,99,41,3068,2.19081643051742,3.38534961714383,"nitrite1"
"Esearch_CP025682_1_Aromatoleum_pumilum_strain_SY39_chromosome.fasta","genome",1,1,1,0,1,1,"Bacteria","Betaproteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Pseudazoarcus","","CP025682.1","SY39|MCCC:1K03430|type strain of Azoarcus pumilus|Azoarcus sp. SY39|China: Sanya|seawater|2012-09",100,0,232,6.16799228972786,5.07607095630788,7.53628937824129,-0.0484213033756768,62,47,3100,2.27519525026911,2.80692527719716,"nitrate3"
"Esearch_CP025803_1_Sulfitobacter_sp_SK011_chromosome.fasta","genome",0,0,1,0,1,1,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","","CP025803.1","SK011|North Sea|North Sea (bottom water)|59.985 N 3.036 E|2011-07-20",100,0,233,3.19117759193033,2.79185215245677,3.65702819215139,-0.194117099029369,85,40,4149,3.26342376094697,3.91409242925344,"nitrite2"
"Esearch_CP025808_1_Sulfitobacter_sp_SK025_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Sulfitobacter","","CP025808.1","SK025|North Sea|North Sea (surface water)|54.090 N 7.936 E|2011-07-28",100,0,234,1.75616600848842,1.53639790335745,2.01254839768603,-0.359428060322388,58,44,2938,3.29379924165479,3.82043629042043,"nitrate1"
"Esearch_CP025938_1_Tamlana_carrageenivorans_strain_UJ94_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tamlana","","CP025938.1","UJ94|type strain of Tamlana carrageenivorans|Tamlana sp. UJ94|South Korea|seawater|2017-04-28",100,0,235,2.49835115971644,2.2013419374158,2.84198111517286,-0.233366214521067,202,41,3652,2.59777163097237,5.09318586217781,"nitrate1"
"Esearch_CP025987_1_Marinomonas_sp_FW-1_chromosome.fasta","genome",1,0,0,0,0,0,"Bacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas","","CP025987.1","FW-1|China: in coastal area of Qingdao|red seaweed|2013-06-13",100,0,236,2.18463883072009,1.92408809533989,2.48623989676895,-0.228256151551032,65,49,3599,3.16816010639484,3.64688327773226,"nitrate1"
"Esearch_CP026309_1_Salinigranum_rubrum_strain_GX10_chromosome.fasta","genome",1,0,1,0,1,0,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Salinigranum","","CP026309.1","GX10|type strain of Salinigranum rubrum|China: Weihai|marine solar saltern brine|2017-10",100,0,237,6.76311394256812,5.49995759325975,8.36832212151069,-0.035214696586103,69,45,4336,2.86868431532681,3.2759697301155,"nitrate2"
